timestamp,event
2026-02-22 11:33:55,dose #1
2026-02-22 11:34:35,dose #2
2026-02-22 11:35:46,dose #3
2026-02-22 11:46:35,dose #1
2026-02-22 11:47:21,dose #2
2026-02-22 11:47:59,dose #3
2026-02-24 18:00:32,dose #1
2026-02-24 18:01:07,dose #2
2026-02-24 18:01:52,dose #3
2026-02-24 18:15:16,dose #1
2026-02-24 18:15:54,dose #2
2026-02-24 18:16:31,dose #3
2026-02-24 18:20:44,dose #1
2026-02-24 18:21:21,dose #2
2026-02-24 18:22:04,dose #3
2026-02-24 18:54:56,dose #1
2026-02-24 18:56:08,dose #2
2026-02-24 18:57:03,dose #3
2026-02-24 19:30:38,dose #1
2026-02-24 19:31:15,dose #2
2026-02-24 19:44:44,dose #3
